game_id,title,title_zh,developer_id,developer,is_goty,gg_degree,gg_pagerank,gg_betweenness,gg_clustering,year,player_rating,n_genres,has_open_world,has_coop,has_online,studio_wins,studio_n_games,studio_pagerank,g_3D平台跳跃,g_CRPG,g_VR平台跳跃,g_互动电影冒险,g_侦探冒险,g_冒险,g_动作,g_动作冒险,g_动作角色扮演,g_卡丁车竞速,g_卡牌,g_即时战略,g_合作冒险,g_合家欢冒险,g_喜剧冒险,g_回合制角色扮演,g_增强现实,g_大型多人在线角色扮演,g_太空角色扮演,g_射击,g_平台动作,g_平台跳跃,g_战术射击,g_数字卡牌,g_未来竞速,g_机甲动作,g_模拟,g_模拟经营,g_横向卷轴平台,g_生存恐怖,g_生活模拟,g_科幻角色扮演,g_竞速,g_第一人称射击,g_第三人称射击,g_策略,g_策略角色扮演,g_英雄射击,g_虚拟现实,g_西部动作冒险,g_角色扮演,g_解谜,g_解谜冒险,g_银河恶魔城,cluster,cluster_hier,pca_x,pca_y
game_039,Tribes: Vengeance,部落：复仇,studio_irrational,Irrational Games,0,6,0.008044609453902228,0.0,1.0,2004,77.0,1,0,0,0,1,7,0.011395472066241233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,-1.7403044614919625,0.6271672814258599
game_040,Freedom Force vs. The Third Reich,自由力量：对抗第三帝国,studio_irrational,Irrational Games,0,8,0.007997313444089582,0.0014067513797972016,0.6428571428571429,2005,89.0,1,0,0,0,1,7,0.011395472066241233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,-1.3399813708899095,-0.12696916088507748
game_041,Crash Bandicoot,古惑狼,studio_naughtydog,Naughty Dog,0,9,0.007346075664166316,0.026755099463376123,0.8055555555555556,1996,85.0,1,0,0,0,2,9,0.013856484883492531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.40498718050588484,1.812056832121813
game_042,Crash Bandicoot 2: Cortex Strikes Back,古惑狼2：科尔特克斯的反击,studio_naughtydog,Naughty Dog,0,9,0.007346075664166316,0.026755099463376123,0.8055555555555556,1997,85.0,1,0,0,0,2,9,0.013856484883492531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.41111384844158516,1.773760133089367
game_043,Crash Team Racing,古惑狼赛车,studio_naughtydog,Naughty Dog,0,8,0.006759284879677852,0.0,1.0,1999,88.0,1,0,0,0,2,9,0.013856484883492531,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1.0908395369264656,3.162068418688197
game_044,Jak and Daxter: The Precursor Legacy,杰克与达斯特：先祖遗产,studio_naughtydog,Naughty Dog,0,8,0.006759284879677852,0.0,1.0,2001,90.0,1,0,0,0,2,9,0.013856484883492531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-1.0612533741471244,3.040665906390679
game_045,Uncharted: Drake's Fortune,神秘海域：德雷克的宝藏,studio_naughtydog,Naughty Dog,0,36,0.011904412703945473,0.021459207146291397,0.8222222222222222,2007,88.0,1,0,0,0,2,9,0.013856484883492531,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.8127109162969437,1.0425564847056463
game_046,Uncharted 3: Drake's Deception,神秘海域3：德雷克的诡计,studio_naughtydog,Naughty Dog,0,36,0.011904412703945473,0.021459207146291397,0.8222222222222222,2011,92.0,1,0,0,0,2,9,0.013856484883492531,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1.860829405429701,0.8714384676013603
game_047,The Last of Us,最后生还者,studio_naughtydog,Naughty Dog,0,36,0.012063888058146299,0.021459207146291397,0.8222222222222222,2013,95.0,2,0,0,0,2,9,0.013856484883492531,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3.4205354775522596,0.42322988760279007
game_048,Kinetica,极速魔神,studio_santamonica,Santa Monica Studio,0,5,0.004624946881626397,0.0,1.0,2001,75.0,1,0,0,0,1,6,0.009330440545119481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,-2.9681599852360367,0.13253625933543478
